Date,PhaseName,Rank,Medal,Person/Team,Country, ,Age (days),Result
07-Aug-2012,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2012 3km Individual Pursuit,2,,"Laura Kenny (ENG, 24 Apr 1992)",Great Britain,,20-105,3:30.547
07-Aug-2012,Cycling - Track 500m Time Trial Women - Olympic Games 2012 500m Time Trial,2,,"Annette Edmondson (AUS, 12 Dec 1991)",Australia,,20-239,35.140
07-Aug-2012,Cycling - Track Keirin Men - Olympic Games 2012,2,S,"Maximilian Levy (GER, 26 Jun 1987)",Germany,,25-042,
07-Aug-2012,Cycling - Track Omnium Women - Olympic Games 2012,2,S,"Sarah Hammer (USA, 18 Aug 1983)",United States,,28-355,19
07-Aug-2012,Cycling - Track Scratch Women - Olympic Games 2012 Scratch,2,,"Sarah Hammer (USA, 18 Aug 1983)",United States,,28-355,
07-Aug-2012,Cycling - Track Sprint Women - Olympic Games 2012,2,S,"Victoria Pendleton (ENG, 24 Sep 1980)",Great Britain,,31-318,
06-Aug-2012,Cycling - Track Elimination Women - Olympic Games 2012 Elimination,2,,"Sarah Hammer (USA, 18 Aug 1983)",United States,,28-354,
06-Aug-2012,Cycling - Track Flying Lap Women - Olympic Games 2012 Flying Lap,2,,"Clara Sanchez (FRA, 20 Sep 1983)",France,,28-321,14.058
06-Aug-2012,Cycling - Track Points Race Women - Olympic Games 2012 Points Race,2,,"Tatsyana Sharakova (BLR, 31 Jul 1984)",Belarus,,28-006,28
06-Aug-2012,Cycling - Track Sprint Men - Olympic Games 2012,2,S,"Gregory Benoit Bauge (FRA, 31 Jan 1985)",France,,27-188,
05-Aug-2012,Cycling - Track 1km Time Trial Men - Olympic Games 2012 1km Time Trial,2,,"Lasse Hansen (DEN, 11 Feb 1992)",Denmark,,20-176,1:02.314
05-Aug-2012,Cycling - Track 4km Individual Pursuit Men - Olympic Games 2012 4km Individual Pursuit,2,,"Ed Clancy (ENG, 12 Mar 1985)",Great Britain,,27-146,4:20.853
05-Aug-2012,Cycling - Track Omnium Men - Olympic Games 2012,2,S,"Bryan Coquard (FRA, 25 Apr 1992)",France,,20-102,29
05-Aug-2012,Cycling - Track Scratch Men - Olympic Games 2012 Scratch,2,,"Eloy Teruel (ESP, 20 Nov 1982)",Spain,,29-259,
04-Aug-2012,Cycling - Track Elimination Men - Olympic Games 2012 Elimination,2,,"Elia Viviani (ITA, 07 Feb 1989)",Italy,,23-179,
04-Aug-2012,Cycling - Track Flying Lap Men - Olympic Games 2012 Flying Lap,2,,"Shane Archbold (NZL, 02 Feb 1989)",New Zealand,,23-184,13.112
04-Aug-2012,Cycling - Track Points Race Men - Olympic Games 2012 Points Race,2,,"Lasse Hansen (DEN, 11 Feb 1992)",Denmark,,20-175,59
04-Aug-2012,Cycling - Track Team Pursuit Women - Olympic Games 2012,2,S,United States,United States,,32-315,3:19.727
04-Aug-2012,Cycling - Track Team Pursuit Women - Olympic Games 2012,2,S,"Sarah Hammer (USA, 18 Aug 1983)",United States,,28-352,3:19.727
04-Aug-2012,Cycling - Track Team Pursuit Women - Olympic Games 2012,2,S,"Dotsie Bausch (USA, 06 Mar 1973)",United States,,39-151,3:19.727
04-Aug-2012,Cycling - Track Team Pursuit Women - Olympic Games 2012,2,S,"Lauren Tamayo (USA, 25 Oct 1983)",United States,,28-284,3:19.727
04-Aug-2012,Cycling - Track Team Pursuit Women - Olympic Games 2012,2,S,"Jennie Reed (USA, 20 Apr 1978)",United States,,34-106,
03-Aug-2012,Cycling - Track Keirin Women - Olympic Games 2012,2,S,"Guo Shuang (CHN, 26 Feb 1986)",China,,26-159,
03-Aug-2012,Cycling - Track Team Pursuit Men - Olympic Games 2012,2,S,Australia,Australia,,22-123,3:54.581
03-Aug-2012,Cycling - Track Team Pursuit Men - Olympic Games 2012,2,S,"Jack Bobridge (AUS, 13 Jul 1989)",Australia,,23-021,3:54.581
03-Aug-2012,Cycling - Track Team Pursuit Men - Olympic Games 2012,2,S,"Glenn O'Shea (AUS, 14 Jun 1989)",Australia,,23-050,3:54.581
03-Aug-2012,Cycling - Track Team Pursuit Men - Olympic Games 2012,2,S,"Rohan Dennis (AUS, 28 May 1990)",Australia,,22-067,3:54.581
03-Aug-2012,Cycling - Track Team Pursuit Men - Olympic Games 2012,2,S,"Michael Hepburn (AUS, 17 Aug 1991)",Australia,,20-352,3:54.581
02-Aug-2012,Cycling - Track Team Sprint Men - Olympic Games 2012,2,S,France,France,,25-330,43.013
02-Aug-2012,Cycling - Track Team Sprint Men - Olympic Games 2012,2,S,"Gregory Benoit Bauge (FRA, 31 Jan 1985)",France,,27-184,43.013
02-Aug-2012,Cycling - Track Team Sprint Men - Olympic Games 2012,2,S,"Kévin Sireau (FRA, 18 Apr 1987)",France,,25-106,43.013
02-Aug-2012,Cycling - Track Team Sprint Men - Olympic Games 2012,2,S,"Michaël D'Almeida (FRA, 03 Sep 1987)",France,,24-334,43.013
02-Aug-2012,Cycling - Track Team Sprint Women - Olympic Games 2012,2,S,Guo S / Gong J J,China,,26-028,
02-Aug-2012,Cycling - Track Team Sprint Women - Olympic Games 2012,2,S,"Gong Jinjie (CHN, 12 Nov 1986)",China,,25-264,
02-Aug-2012,Cycling - Track Team Sprint Women - Olympic Games 2012,2,S,"Guo Shuang (CHN, 26 Feb 1986)",China,,26-158,
19-Aug-2008,Cycling - Track Madison Men - Olympic Games 2008,2,S,Llaneras / Tauler,Spain,,36-295,
19-Aug-2008,Cycling - Track Madison Men - Olympic Games 2008,2,S,"Joan Llaneras (ESP, 17 May 1969)",Spain,,39-094,
19-Aug-2008,Cycling - Track Madison Men - Olympic Games 2008,2,S,"Toni Tauler (ESP, 11 Apr 1974)",Spain,,34-130,
19-Aug-2008,Cycling - Track Sprint Men - Olympic Games 2008,2,S,"Jason Kenny (ENG, 23 Mar 1988)",Great Britain,,20-149,
19-Aug-2008,Cycling - Track Sprint Women - Olympic Games 2008,2,S,"Anna Meares (AUS, 21 Sep 1983)",Australia,,24-333,
18-Aug-2008,Cycling - Track Points Race Women - Olympic Games 2008,2,S,"Yoanka González (CUB, 09 Jan 1976)",Cuba,,32-222,18
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,2,S,Denmark,Denmark,,24-028,4:00.040
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,2,S,"Michael Mørkøv (DEN, 30 Apr 1985)",Denmark,,23-110,4:00.040
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,2,S,"Casper Jørgensen (DEN, 20 Aug 1985)",Denmark,,22-364,4:00.040
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,2,S,"Jens Erik Madsen (DEN, 30 Mar 1981)",Denmark,,27-141,4:00.040
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,2,S,"Alex Rasmussen (DEN, 09 Jun 1984)",Denmark,,24-070,4:00.040
18-Aug-2008,Cycling - Track Team Pursuit Men - Olympic Games 2008,2,S,"Michael Christensen (DEN, 14 Feb 1986)",Denmark,,22-186,
17-Aug-2008,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2008,2,S,"Wendy Houvenaghel (NIR, 27 Nov 1974)",Great Britain,,33-264,3:30.395
16-Aug-2008,Cycling - Track 4km Individual Pursuit Men - Olympic Games 2008,2,S,"Hayden Roulston (NZL, 10 Jan 1981)",New Zealand,,27-219,4:19.611
16-Aug-2008,Cycling - Track Keirin Men - Olympic Games 2008,2,S,"Ross Edgar (SCO, 03 Jan 1983)",Great Britain,,25-226,
16-Aug-2008,Cycling - Track Points Race Men - Olympic Games 2008,2,S,"Roger Kluge (GER, 05 Feb 1986)",Germany,,22-193,58
15-Aug-2008,Cycling - Track Team Sprint Men - Olympic Games 2008,2,S,France,France,,25-315,43.651
15-Aug-2008,Cycling - Track Team Sprint Men - Olympic Games 2008,2,S,"Gregory Benoit Bauge (FRA, 31 Jan 1985)",France,,23-197,43.651
15-Aug-2008,Cycling - Track Team Sprint Men - Olympic Games 2008,2,S,"Kévin Sireau (FRA, 18 Apr 1987)",France,,21-119,43.651
15-Aug-2008,Cycling - Track Team Sprint Men - Olympic Games 2008,2,S,"Arnaud Tournant (FRA, 05 Apr 1978)",France,,30-132,43.651
15-Aug-2008,Cycling - Track Team Sprint Men - Olympic Games 2008,2,S,"Mickaël Bourgain (FRA, 28 May 1980)",France,,28-079,
25-Aug-2004,Cycling - Track Keirin Men - Olympic Games 2004,2,S,"José Antonio Escuredo (ESP, 19 Jan 1970)",Spain,,34-219,
25-Aug-2004,Cycling - Track Madison Men - Olympic Games 2004,2,S,Risi / Marvulli,Switzerland,,30-321,15
25-Aug-2004,Cycling - Track Madison Men - Olympic Games 2004,2,S,"Franco Marvulli (SUI, 11 Nov 1978)",Switzerland,,25-288,15
25-Aug-2004,Cycling - Track Madison Men - Olympic Games 2004,2,S,"Bruno Risi (SUI, 06 Sep 1968)",Switzerland,,35-354,15
25-Aug-2004,Cycling - Track Points Race Women - Olympic Games 2004,2,S,"Belem Guerrero (MEX, 08 Mar 1974)",Mexico,,30-170,14
24-Aug-2004,Cycling - Track Points Race Men - Olympic Games 2004,2,S,"Joan Llaneras (ESP, 17 May 1969)",Spain,,35-099,82
24-Aug-2004,Cycling - Track Sprint Men - Olympic Games 2004,2,S,"Theo Bos (NED, 22 Aug 1983)",Netherlands,,21-002,
24-Aug-2004,Cycling - Track Sprint Women - Olympic Games 2004,2,S,"Tamilla Abasova (RUS, 09 Dec 1982)",Russia,,21-259,
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,2,S,Great Britain,Great Britain,,29-101,4:01.760
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,2,S,"Steve Cummings (ENG, 19 Mar 1981)",Great Britain,,23-157,4:01.760
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,2,S,"Rob Hayles (ENG, 21 Jan 1973)",Great Britain,,31-215,4:01.760
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,2,S,"Paul Manning (ENG, 06 Nov 1974)",Great Britain,,29-291,4:01.760
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,2,S,"Bradley Wiggins (ENG, 28 Apr 1980)",Great Britain,,24-117,4:01.760
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,2,S,"Bryan Steel (ENG, 05 Jan 1969)",Great Britain,,35-231,
23-Aug-2004,Cycling - Track Team Pursuit Men - Olympic Games 2004,2,S,"Chris Newton (ENG, 29 Sep 1973)",Great Britain,,30-329,
22-Aug-2004,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2004,2,S,"Katie Mactier (AUS, 23 Mar 1975)",Australia,,29-152,3:27.650
21-Aug-2004,Cycling - Track 4km Individual Pursuit Men - Olympic Games 2004,2,S,"Bradley McGee (AUS, 24 Feb 1976)",Australia,,28-179,4:20.436
21-Aug-2004,Cycling - Track Team Sprint Men - Olympic Games 2004,2,S,Japan,Japan,,26-164,44.246
21-Aug-2004,Cycling - Track Team Sprint Men - Olympic Games 2004,2,S,"Masaki Inoue (JPN, 25 Jul 1979)",Japan,,25-027,44.246
21-Aug-2004,Cycling - Track Team Sprint Men - Olympic Games 2004,2,S,"Tomohiro Nagatsuka (JPN, 28 Nov 1978)",Japan,,25-267,44.246
21-Aug-2004,Cycling - Track Team Sprint Men - Olympic Games 2004,2,S,"Toshiaki Fushimi (JPN, 04 Feb 1976)",Japan,,28-199,44.246
20-Aug-2004,Cycling - Track 1km Time Trial Men - Olympic Games 2004,2,S,"Arnaud Tournant (FRA, 05 Apr 1978)",France,,26-137,1:00.896
20-Aug-2004,Cycling - Track 500m Time Trial Women - Olympic Games 2004,2,S,"Jiang Yonghua (CHN, 07 Sep 1973)",China,,30-348,34.112
01-Oct-2000,Cycling - Track Keirin Men - Olympic Games 2000,2,S,"Gary Neiwand (AUS, 04 Sep 1966)",Australia,,34-027,
01-Oct-2000,Cycling - Track Madison Men - Olympic Games 2000,2,S,De Wilde / Gilmore,Belgium,,35-106,22
01-Oct-2000,Cycling - Track Madison Men - Olympic Games 2000,2,S,"Etienne De Wilde (BEL, 23 Mar 1958)",Belgium,,42-192,22
01-Oct-2000,Cycling - Track Madison Men - Olympic Games 2000,2,S,"Matthew Gilmore (BEL, 11 Sep 1972)",Belgium,,28-020,22
01-Oct-2000,Cycling - Track Points Race Women - Olympic Games 2000,2,S,"Leontien Zijlaard-van Moorsel (NED, 22 Mar 1970)",Netherlands,,30-193,16
20-Sep-2000,Cycling - Track Points Race Men - Olympic Games 2000,2,S,"Milton Wynants (URU, 29 Mar 1972)",Uruguay,,28-175,18
20-Sep-2000,Cycling - Track Sprint Men - Olympic Games 2000,2,S,"Florian Rousseau (FRA, 03 Feb 1974)",France,,26-230,
20-Sep-2000,Cycling - Track Sprint Women - Olympic Games 2000,2,S,"Oksana Grichina (RUS, 27 Nov 1968)",Russia,,31-298,
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,2,S,Ukraine,Ukraine,,26-225,4:04.520
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,2,S,"Alexandre Fedenko (UKR, 20 Dec 1970)",Ukraine,,29-274,4:04.520
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,2,S,"Alexandre Symonenko (UKR, 14 Feb 1974)",Ukraine,,26-218,4:04.520
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,2,S,"Sergei Matveev (UKR, 29 Jan 1975)",Ukraine,,25-234,4:04.520
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,2,S,"Sergei Chernyavski (UKR, 02 Apr 1976)",Ukraine,,24-170,4:04.520
17-Sep-2000,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2000,2,S,"Marion Clignet (FRA, 22 Feb 1964)",France,,36-208,3:38.751
17-Sep-2000,Cycling - Track 4km Individual Pursuit Men - Olympic Games 2000,2,S,"Jens Lehmann (GER, 19 Dec 1967)",Germany,,32-273,4:23.824
17-Sep-2000,Cycling - Track Team Sprint Men - Olympic Games 2000,2,S,Great Britain,Great Britain,,27-363,44.680
17-Sep-2000,Cycling - Track Team Sprint Men - Olympic Games 2000,2,S,"Chris Hoy (SCO, 23 Mar 1976)",Great Britain,,24-178,44.680
17-Sep-2000,Cycling - Track Team Sprint Men - Olympic Games 2000,2,S,"Craig MacLean (SCO, 31 Jul 1971)",Great Britain,,29-048,44.680
17-Sep-2000,Cycling - Track Team Sprint Men - Olympic Games 2000,2,S,"Jason Queally (ENG, 11 May 1970)",Great Britain,,30-129,44.680
16-Sep-2000,Cycling - Track 1km Time Trial Men - Olympic Games 2000,2,S,"Stefan Nimke (GER, 01 Mar 1978)",Germany,,22-199,1:02.487
16-Sep-2000,Cycling - Track 500m Time Trial Women - Olympic Games 2000,2,S,"Michelle Ferris (AUS, 24 Sep 1976)",Australia,,23-358,34.696
04-Aug-1996,Cycling - Track Points Race Women - Olympic Games 1996,2,S,"Ingrid Haringa (NED, 11 Jul 1964)",Netherlands,,32-024,23
28-Jul-1996,Cycling - Track 3km Individual Pursuit Women - Olympic Games 1996,2,S,"Marion Clignet (FRA, 22 Feb 1964)",France,,32-157,3:38.571
28-Jul-1996,Cycling - Track Points Race Men - Olympic Games 1996,2,S,"Brian Walton (CAN, 18 Dec 1965)",Canada,,30-223,29
28-Jul-1996,Cycling - Track Sprint Men - Olympic Games 1996,2,S,"Marty Nothstein (USA, 10 Feb 1971)",United States,,25-169,
27-Jul-1996,Cycling - Track Sprint Women - Olympic Games 1996,2,S,"Michelle Ferris (AUS, 24 Sep 1976)",Australia,,19-307,
26-Jul-1996,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1996,2,S,"Philippe Ermenault (FRA, 29 Apr 1969)",France,,27-088,4:22.714
26-Jul-1996,Cycling - Track Team Pursuit Men - Olympic Games 1996,2,S,Russia,Russia,,20-266,
26-Jul-1996,Cycling - Track Team Pursuit Men - Olympic Games 1996,2,S,"Edouard Gritsoun (RUS, 04 Feb 1976)",Russia,,20-173,
26-Jul-1996,Cycling - Track Team Pursuit Men - Olympic Games 1996,2,S,"Nicolai Kuznetsov (RUS, 20 Jul 1973)",Russia,,23-006,
26-Jul-1996,Cycling - Track Team Pursuit Men - Olympic Games 1996,2,S,"Alexei Markov (RUS, 26 May 1979)",Russia,,17-061,
26-Jul-1996,Cycling - Track Team Pursuit Men - Olympic Games 1996,2,S,"Anton Chantyr (RUS, 25 Apr 1974)",Russia,,22-092,
24-Jul-1996,Cycling - Track 1km Time Trial Men - Olympic Games 1996,2,S,"Erin Hartwell (USA, 01 Jun 1969)",United States,,27-053,1:02.940
09-Aug-1992,Cycling - Track 3km Individual Pursuit Women - Olympic Games 1992,2,S,"Kathy Watt (AUS, 11 Sep 1964)",Australia,,27-333,
09-Aug-1992,Cycling - Track Points Race Men - Olympic Games 1992,2,S,"Leon van Bon (NED, 28 Jan 1972)",Netherlands,,20-194,43
09-Aug-1992,Cycling - Track Sprint Women - Olympic Games 1992,2,S,"Annett Neumann (GER, 31 Jan 1970)",Germany,,22-191,
31-Jul-1992,Cycling - Track Sprint Men - Olympic Games 1992,2,S,"Gary Neiwand (AUS, 04 Sep 1966)",Australia,,25-331,
31-Jul-1992,Cycling - Track Team Pursuit Men - Olympic Games 1992,2,S,Australia,Australia,,21-271,4:10.218
31-Jul-1992,Cycling - Track Team Pursuit Men - Olympic Games 1992,2,S,"Brett Aitken (AUS, 25 Jan 1971)",Australia,,21-188,4:10.218
31-Jul-1992,Cycling - Track Team Pursuit Men - Olympic Games 1992,2,S,"Stephen McGlede (AUS, 13 Apr 1969)",Australia,,23-109,4:10.218
31-Jul-1992,Cycling - Track Team Pursuit Men - Olympic Games 1992,2,S,"Shaun O'Brien (AUS, 31 May 1969)",Australia,,23-061,4:10.218
31-Jul-1992,Cycling - Track Team Pursuit Men - Olympic Games 1992,2,S,"Stuart O'Grady (AUS, 06 Aug 1973)",Australia,,18-360,4:10.218
29-Jul-1992,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1992,2,S,"Jens Lehmann (GER, 19 Dec 1967)",Germany,,24-223,
27-Jul-1992,Cycling - Track 1km Time Trial Men - Olympic Games 1992,2,S,"Shane Kelly (AUS, 07 Jan 1972)",Australia,,20-202,1:04.288
02-Oct-1988,Cycling - Track Sprint Women - Olympic Games 1988,2,S,"Christa Luding (GER, 04 Dec 1959)",East Germany,,28-303,
24-Sep-1988,Cycling - Track Points Race Men - Olympic Games 1988,2,S,"Leo Peelen (NED, 16 Jul 1968)",Netherlands,,20-070,
24-Sep-1988,Cycling - Track Sprint Men - Olympic Games 1988,2,S,"Nikolai Kovche (RUS, 22 Jan 1965)",Soviet Union,,23-246,
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,2,S,East Germany,East Germany,,22-133,
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,2,S,"Steffen Blochwitz (GER, 08 Sep 1967)",East Germany,,21-016,
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,2,S,"Karsten Wolf (GER, 26 Aug 1964)",East Germany,,24-029,
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,2,S,"Dirk Meier (GER, 28 Jan 1964)",East Germany,,24-240,
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,2,S,"Roland Hennig (GER, 19 Dec 1967)",East Germany,,20-280,
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,2,S,"Uwe Preissler (GER, 17 Jun 1967)",East Germany,,21-099,
22-Sep-1988,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1988,2,S,"Dean Woods (AUS, 22 Jun 1966)",Australia,,22-092,
20-Sep-1988,Cycling - Track 1km Time Trial Men - Olympic Games 1988,2,S,"Martin Vinnicombe (AUS, 05 Dec 1964)",Australia,,23-290,1:04.784
03-Aug-1984,Cycling - Track Points Race Men - Olympic Games 1984,2,S,"Uwe Messerschmidt (GER, 22 Jan 1962)",West Germany,,22-194,
03-Aug-1984,Cycling - Track Sprint Men - Olympic Games 1984,2,S,"Nelson Vails (USA, 13 Oct 1960)",United States,,23-295,
03-Aug-1984,Cycling - Track Team Pursuit Men - Olympic Games 1984,2,S,United States,United States,,25-019,4:29.850
03-Aug-1984,Cycling - Track Team Pursuit Men - Olympic Games 1984,2,S,"David Grylls (USA, 29 Sep 1957)",United States,,26-309,4:29.850
03-Aug-1984,Cycling - Track Team Pursuit Men - Olympic Games 1984,2,S,"Steve Hegg (USA, 03 Dec 1963)",United States,,20-244,4:29.850
03-Aug-1984,Cycling - Track Team Pursuit Men - Olympic Games 1984,2,S,"Léonard Nitz (USA, 30 Sep 1956)",United States,,27-308,4:29.850
03-Aug-1984,Cycling - Track Team Pursuit Men - Olympic Games 1984,2,S,"Patrick McDonough (USA, 22 Jul 1961)",United States,,23-012,4:29.850
03-Aug-1984,Cycling - Track Team Pursuit Men - Olympic Games 1984,2,S,"Brent Emery (USA, 15 Sep 1957)",United States,,26-323,
01-Aug-1984,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1984,2,S,"Rolf Gölz (GER, 30 Sep 1962)",West Germany,,21-306,
30-Jul-1984,Cycling - Track 1km Time Trial Men - Olympic Games 1984,2,S,"Curtis Harnett (CAN, 14 May 1965)",Canada,,19-077,1:06.436
03-Aug-1980,Cycling - Track Team Pursuit Men - Olympic Games 1980,2,S,East Germany,East Germany,,25-101,4:19.67
03-Aug-1980,Cycling - Track Team Pursuit Men - Olympic Games 1980,2,S,"Gerald Mortag (GER, 08 Nov 1958)",East Germany,,21-269,
03-Aug-1980,Cycling - Track Team Pursuit Men - Olympic Games 1980,2,S,"Uwe Unterwalder (GER, 15 Jul 1950)",East Germany,,30-019,
03-Aug-1980,Cycling - Track Team Pursuit Men - Olympic Games 1980,2,S,"Matthias Wiegand (GER, 22 Apr 1954)",East Germany,,26-103,
03-Aug-1980,Cycling - Track Team Pursuit Men - Olympic Games 1980,2,S,"Volker Winkler (GER, 20 Jul 1957)",East Germany,,23-014,
